country_code,country,year,gdp_per_capita_constant_2015_usd,gdp_growth_annual_pct,adjusted_inflation_annual_pct,adjusted_unemployment_total_pct_ilo_estimate,life_expectancy_years,adjusted_infant_mortality_per_1000_live_births,secondary_school_enrollment_gross_pct,access_to_electricity_pct_population,individuals_using_internet_pct_population,trade_pct_gdp,PC1,PC2,PC3
ZAF,South Africa,2012,6121.55783860713,2.39623238465745,-5.73797139141739,-24.727,61.737,-33.3,92.1625137329102,85.2,41.0,55.5826171933345,-2.700359500539351,-2.963175839758558,-0.8434200295913048
ZAF,South Africa,2013,6170.87670863373,2.48546800826588,-5.78016910069176,-24.561,62.388,-32.1,96.66285705566408,85.2,46.5,58.875027630051,-2.3586551624799457,-3.023242146101335,-0.8451276346549245
ZAF,South Africa,2014,6155.00589462516,1.41382645223793,-6.13282953059149,-24.89,63.184,-30.7,101.163200378418,85.9,49.0,59.4995740550593,-2.007281721462838,-3.2380736007764037,-0.9528567070768815
ZAF,South Africa,2015,6112.27382485974,1.32186223678229,-4.51869094892506,-25.149,64.053,-29.3,104.622812990742,85.3,51.91910172,56.7266761447156,-1.7734007904122486,-3.2838920597414742,-1.0841688628802326
ZAF,South Africa,2016,6095.295060428,0.664552307858116,-6.60290842394872,-26.536,64.749,-28.0,103.855987548828,83.9,54.0,55.8612575048782,-1.6950355930661092,-3.4885900914909422,-0.9661309637823923
ZAF,South Africa,2017,6125.6920507497,1.15794695181735,-5.18618655524149,-27.035,65.422,-26.8,105.623168945312,84.4,56.16740036,53.5359318293741,-1.4984402017792882,-3.4545087104864214,-0.9910236547591884
ZAF,South Africa,2018,6117.2701406047,1.55678384721676,-4.50987264867388,-26.906,65.726,-25.8,101.399612936693,84.7,62.40000153,54.4855451276341,-1.39476151505129,-3.277972915813734,-1.0221629510314016
ZAF,South Africa,2019,6032.82972598668,0.25993557687633,-4.10285075461156,-28.468,66.071,-25.1,103.78912033531,85.0,69.69689941,53.8979964081406,-1.1384428350733509,-3.641841760632412,-1.2890207734026045
ZAF,South Africa,2020,5569.58483319272,-6.1689177146757,-3.23238831615113,-29.217,65.15,-24.5,103.501178102472,90.0,72.1128006,50.7596590804177,-0.833827889548031,-4.435775768524858,-2.3934851726284814
ZAF,South Africa,2021,5750.90937479584,4.85864865060148,-4.61874544887136,-34.007,62.01,-24.3,106.443303990911,89.3,74.96859741,56.1647136277546,-1.3904395653240356,-3.9629377735360833,-0.8083050479913958
